"Year","Subject group HECoS CAH1","Age group","Domicile","Gender","Applications"
"2025","(CAH26) geography, earth and environmental studies","30 - 34","EU (excluding UK)","I use another term","0"
"2026","(CAH26) geography, earth and environmental studies","30 - 34","EU (excluding UK)","I use another term","0"
"2019","(CAH07) physical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2020","(CAH07) physical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2021","(CAH07) physical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2022","(CAH07) physical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2023","(CAH07) physical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2024","(CAH07) physical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2025","(CAH07) physical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2026","(CAH07) physical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2019","(CAH04) psychology","30 - 34","EU (excluding UK)","I use another term","0"
"2020","(CAH04) psychology","30 - 34","EU (excluding UK)","I use another term","0"
"2021","(CAH04) psychology","30 - 34","EU (excluding UK)","I use another term","0"
"2022","(CAH04) psychology","30 - 34","EU (excluding UK)","I use another term","0"
"2023","(CAH04) psychology","30 - 34","EU (excluding UK)","I use another term","0"
"2024","(CAH04) psychology","30 - 34","EU (excluding UK)","I use another term","0"
"2025","(CAH04) psychology","30 - 34","EU (excluding UK)","I use another term","0"
"2026","(CAH04) psychology","30 - 34","EU (excluding UK)","I use another term","0"
"2019","(CAH09) mathematical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2020","(CAH09) mathematical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2021","(CAH09) mathematical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2022","(CAH09) mathematical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2023","(CAH09) mathematical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2024","(CAH09) mathematical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2025","(CAH09) mathematical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2026","(CAH09) mathematical sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2019","(CAH22) education and teaching","30 - 34","EU (excluding UK)","I use another term","0"
"2020","(CAH22) education and teaching","30 - 34","EU (excluding UK)","I use another term","0"
"2021","(CAH22) education and teaching","30 - 34","EU (excluding UK)","I use another term","0"
"2022","(CAH22) education and teaching","30 - 34","EU (excluding UK)","I use another term","0"
"2023","(CAH22) education and teaching","30 - 34","EU (excluding UK)","I use another term","0"
"2024","(CAH22) education and teaching","30 - 34","EU (excluding UK)","I use another term","0"
"2025","(CAH22) education and teaching","30 - 34","EU (excluding UK)","I use another term","0"
"2026","(CAH22) education and teaching","30 - 34","EU (excluding UK)","I use another term","0"
"2019","(CAH06) agriculture, food and related studies","30 - 34","EU (excluding UK)","I use another term","0"
"2020","(CAH06) agriculture, food and related studies","30 - 34","EU (excluding UK)","I use another term","0"
"2021","(CAH06) agriculture, food and related studies","30 - 34","EU (excluding UK)","I use another term","0"
"2022","(CAH06) agriculture, food and related studies","30 - 34","EU (excluding UK)","I use another term","0"
"2023","(CAH06) agriculture, food and related studies","30 - 34","EU (excluding UK)","I use another term","0"
"2024","(CAH06) agriculture, food and related studies","30 - 34","EU (excluding UK)","I use another term","0"
"2025","(CAH06) agriculture, food and related studies","30 - 34","EU (excluding UK)","I use another term","0"
"2026","(CAH06) agriculture, food and related studies","30 - 34","EU (excluding UK)","I use another term","0"
"2019","(CAH16) law","30 - 34","EU (excluding UK)","I use another term","0"
"2020","(CAH16) law","30 - 34","EU (excluding UK)","I use another term","0"
"2021","(CAH16) law","30 - 34","EU (excluding UK)","I use another term","0"
"2022","(CAH16) law","30 - 34","EU (excluding UK)","I use another term","0"
"2023","(CAH16) law","30 - 34","EU (excluding UK)","I use another term","0"
"2024","(CAH16) law","30 - 34","EU (excluding UK)","I use another term","0"
"2025","(CAH16) law","30 - 34","EU (excluding UK)","I use another term","0"
"2026","(CAH16) law","30 - 34","EU (excluding UK)","I use another term","0"
"2019","(CAH05) veterinary sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2020","(CAH05) veterinary sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2021","(CAH05) veterinary sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2022","(CAH05) veterinary sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2023","(CAH05) veterinary sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2024","(CAH05) veterinary sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2025","(CAH05) veterinary sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2026","(CAH05) veterinary sciences","30 - 34","EU (excluding UK)","I use another term","0"
"2019","Unassigned","35 and over","EU (excluding UK)","I use another term","0"
"2020","Unassigned","35 and over","EU (excluding UK)","I use another term","0"
"2021","Unassigned","35 and over","EU (excluding UK)","I use another term","0"
"2022","Unassigned","35 and over","EU (excluding UK)","I use another term","0"
"2023","Unassigned","35 and over","EU (excluding UK)","I use another term","0"
"2024","Unassigned","35 and over","EU (excluding UK)","I use another term","0"
"2025","Unassigned","35 and over","EU (excluding UK)","I use another term","0"
"2026","Unassigned","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH25) design, and creative and performing arts","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH25) design, and creative and performing arts","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH25) design, and creative and performing arts","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH25) design, and creative and performing arts","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH25) design, and creative and performing arts","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH25) design, and creative and performing arts","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH25) design, and creative and performing arts","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH25) design, and creative and performing arts","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH10) engineering and technology","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH10) engineering and technology","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH10) engineering and technology","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH10) engineering and technology","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH10) engineering and technology","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH10) engineering and technology","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH10) engineering and technology","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH10) engineering and technology","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH02) subjects allied to medicine","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH02) subjects allied to medicine","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH02) subjects allied to medicine","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH02) subjects allied to medicine","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH02) subjects allied to medicine","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH02) subjects allied to medicine","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH02) subjects allied to medicine","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH02) subjects allied to medicine","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH19) language and area studies","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH19) language and area studies","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH19) language and area studies","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH19) language and area studies","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH19) language and area studies","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH19) language and area studies","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH19) language and area studies","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH19) language and area studies","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH24) media, journalism and communications","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH24) media, journalism and communications","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH24) media, journalism and communications","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH24) media, journalism and communications","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH24) media, journalism and communications","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH24) media, journalism and communications","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH24) media, journalism and communications","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH24) media, journalism and communications","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH23) combined and general studies","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH23) combined and general studies","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH23) combined and general studies","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH23) combined and general studies","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH23) combined and general studies","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH23) combined and general studies","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH23) combined and general studies","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH23) combined and general studies","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH17) business and management","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH17) business and management","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH17) business and management","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH17) business and management","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH17) business and management","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH17) business and management","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH17) business and management","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH17) business and management","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH15) social sciences","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH15) social sciences","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH15) social sciences","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH15) social sciences","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH15) social sciences","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH15) social sciences","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH15) social sciences","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH15) social sciences","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH03) biological and sport sciences","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH03) biological and sport sciences","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH03) biological and sport sciences","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH03) biological and sport sciences","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH03) biological and sport sciences","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH03) biological and sport sciences","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH03) biological and sport sciences","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH03) biological and sport sciences","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH13) architecture, building and planning","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH13) architecture, building and planning","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH13) architecture, building and planning","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH13) architecture, building and planning","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH13) architecture, building and planning","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH13) architecture, building and planning","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH13) architecture, building and planning","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH13) architecture, building and planning","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH01) medicine and dentistry","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH01) medicine and dentistry","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH01) medicine and dentistry","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH01) medicine and dentistry","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH01) medicine and dentistry","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH01) medicine and dentistry","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH01) medicine and dentistry","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH01) medicine and dentistry","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH20) historical, philosophical and religious studies","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH20) historical, philosophical and religious studies","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH20) historical, philosophical and religious studies","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH20) historical, philosophical and religious studies","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH20) historical, philosophical and religious studies","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH20) historical, philosophical and religious studies","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH20) historical, philosophical and religious studies","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH20) historical, philosophical and religious studies","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH11) computing","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH11) computing","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH11) computing","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH11) computing","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH11) computing","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH11) computing","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH11) computing","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH11) computing","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH26) geography, earth and environmental studies","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH26) geography, earth and environmental studies","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH26) geography, earth and environmental studies","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH26) geography, earth and environmental studies","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH26) geography, earth and environmental studies","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH26) geography, earth and environmental studies","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH26) geography, earth and environmental studies","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH26) geography, earth and environmental studies","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH07) physical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH07) physical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH07) physical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH07) physical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH07) physical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH07) physical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH07) physical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH07) physical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH04) psychology","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH04) psychology","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH04) psychology","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH04) psychology","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH04) psychology","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH04) psychology","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH04) psychology","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH04) psychology","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH09) mathematical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH09) mathematical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH09) mathematical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH09) mathematical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH09) mathematical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH09) mathematical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH09) mathematical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH09) mathematical sciences","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH22) education and teaching","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH22) education and teaching","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH22) education and teaching","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH22) education and teaching","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH22) education and teaching","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH22) education and teaching","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH22) education and teaching","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH22) education and teaching","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH06) agriculture, food and related studies","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH06) agriculture, food and related studies","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH06) agriculture, food and related studies","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH06) agriculture, food and related studies","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH06) agriculture, food and related studies","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH06) agriculture, food and related studies","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH06) agriculture, food and related studies","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH06) agriculture, food and related studies","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH16) law","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH16) law","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH16) law","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH16) law","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH16) law","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH16) law","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH16) law","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH16) law","35 and over","EU (excluding UK)","I use another term","0"
"2019","(CAH05) veterinary sciences","35 and over","EU (excluding UK)","I use another term","0"
"2020","(CAH05) veterinary sciences","35 and over","EU (excluding UK)","I use another term","0"
"2021","(CAH05) veterinary sciences","35 and over","EU (excluding UK)","I use another term","0"
"2022","(CAH05) veterinary sciences","35 and over","EU (excluding UK)","I use another term","0"
"2023","(CAH05) veterinary sciences","35 and over","EU (excluding UK)","I use another term","0"
"2024","(CAH05) veterinary sciences","35 and over","EU (excluding UK)","I use another term","0"
"2025","(CAH05) veterinary sciences","35 and over","EU (excluding UK)","I use another term","0"
"2026","(CAH05) veterinary sciences","35 and over","EU (excluding UK)","I use another term","0"
"2019","Unassigned","17 and under","Northern Ireland","I prefer not to say","0"
"2020","Unassigned","17 and under","Northern Ireland","I prefer not to say","0"
"2021","Unassigned","17 and under","Northern Ireland","I prefer not to say","0"
"2022","Unassigned","17 and under","Northern Ireland","I prefer not to say","0"
"2023","Unassigned","17 and under","Northern Ireland","I prefer not to say","0"
"2024","Unassigned","17 and under","Northern Ireland","I prefer not to say","0"
"2025","Unassigned","17 and under","Northern Ireland","I prefer not to say","0"
"2026","Unassigned","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH25) design, and creative and performing arts","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH25) design, and creative and performing arts","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH25) design, and creative and performing arts","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH25) design, and creative and performing arts","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH25) design, and creative and performing arts","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH25) design, and creative and performing arts","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH25) design, and creative and performing arts","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH25) design, and creative and performing arts","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH10) engineering and technology","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH10) engineering and technology","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH10) engineering and technology","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH10) engineering and technology","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH10) engineering and technology","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH10) engineering and technology","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH10) engineering and technology","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH10) engineering and technology","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH02) subjects allied to medicine","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH02) subjects allied to medicine","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH02) subjects allied to medicine","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH02) subjects allied to medicine","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH02) subjects allied to medicine","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH02) subjects allied to medicine","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH02) subjects allied to medicine","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH02) subjects allied to medicine","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH19) language and area studies","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH19) language and area studies","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH19) language and area studies","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH19) language and area studies","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH19) language and area studies","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH19) language and area studies","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH19) language and area studies","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH19) language and area studies","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH24) media, journalism and communications","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH24) media, journalism and communications","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH24) media, journalism and communications","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH24) media, journalism and communications","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH24) media, journalism and communications","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH24) media, journalism and communications","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH24) media, journalism and communications","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH24) media, journalism and communications","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH23) combined and general studies","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH23) combined and general studies","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH23) combined and general studies","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH23) combined and general studies","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH23) combined and general studies","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH23) combined and general studies","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH23) combined and general studies","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH23) combined and general studies","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH17) business and management","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH17) business and management","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH17) business and management","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH17) business and management","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH17) business and management","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH17) business and management","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH17) business and management","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH17) business and management","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH15) social sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH15) social sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH15) social sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH15) social sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH15) social sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH15) social sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH15) social sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH15) social sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH03) biological and sport sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH03) biological and sport sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH03) biological and sport sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH03) biological and sport sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH03) biological and sport sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH03) biological and sport sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH03) biological and sport sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH03) biological and sport sciences","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH13) architecture, building and planning","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH13) architecture, building and planning","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH13) architecture, building and planning","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH13) architecture, building and planning","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH13) architecture, building and planning","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH13) architecture, building and planning","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH13) architecture, building and planning","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH13) architecture, building and planning","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH01) medicine and dentistry","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH01) medicine and dentistry","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH01) medicine and dentistry","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH01) medicine and dentistry","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH01) medicine and dentistry","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH01) medicine and dentistry","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH01) medicine and dentistry","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH01) medicine and dentistry","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH20) historical, philosophical and religious studies","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH20) historical, philosophical and religious studies","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH20) historical, philosophical and religious studies","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH20) historical, philosophical and religious studies","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH20) historical, philosophical and religious studies","17 and under","Northern Ireland","I prefer not to say","0"
"2024","(CAH20) historical, philosophical and religious studies","17 and under","Northern Ireland","I prefer not to say","0"
"2025","(CAH20) historical, philosophical and religious studies","17 and under","Northern Ireland","I prefer not to say","0"
"2026","(CAH20) historical, philosophical and religious studies","17 and under","Northern Ireland","I prefer not to say","0"
"2019","(CAH11) computing","17 and under","Northern Ireland","I prefer not to say","0"
"2020","(CAH11) computing","17 and under","Northern Ireland","I prefer not to say","0"
"2021","(CAH11) computing","17 and under","Northern Ireland","I prefer not to say","0"
"2022","(CAH11) computing","17 and under","Northern Ireland","I prefer not to say","0"
"2023","(CAH11) computing","17 and under","Northern Ireland","I prefer not to say","0"
