time_period,academic_year,YAG,qualification_level,sex,CAH3_code,CAH3_subject,grads,grads_uk,unmatched_percent,overseas_percent,matched,activity_not_captured,no_sust_dest,sust_emp_only,sust_emp_with_or_without_fs,sust_emp_fs_or_both,fs_with_or_without_sust_emp,earnings_include,earnings_LQ,earnings_median,earnings_UQ
202122,2019/2020,1 YAG,First-degree,Male,CAH10-01-09,"Chemical, process and energy engineering",1250,1235,0.5,1.2,1230,2.7,7,63.4,82.2,90.3,26.9,775,22300,27700,33200
202122,2019/2020,1 YAG,First-degree,Male,CAH02-02-03,Pharmacy,745,735,0.4,0.9,735,0.9,18.8,63.5,77.8,80.4,16.9,400,18600,27400,31800
202223,2020/2021,1 YAG,First-degree,Female,CAH05-01-02,Others in veterinary sciences,280,275,0.7,2.5,270,1.2,3.6,84.1,92.7,95.2,11.1,225,21900,24100,26600
202223,2020/2021,1 YAG,First-degree,Female,CAH03-01-06,Zoology,775,755,0.5,2.6,750,2.1,9.2,56.6,80.7,88.7,32,415,15300,19700,23400
202122,2019/2020,1 YAG,First-degree,Female,CAH10-01-08,Electrical and electronic engineering,225,220,1.7,1.1,220,2.4,7.8,68.3,88.4,89.8,21.5,145,27000,31400,37600
202324,2019/2020,3 YAG,First-degree,Male,CAH17-01-02,Business studies,5215,5100,1.3,2.3,5030,7,9.2,75.7,82.4,83.8,8.1,3660,23800,30400,39900
202223,2020/2021,1 YAG,First-degree,Female,CAH19-04-01,French studies,565,525,0.6,6.6,525,4.3,5.8,57.5,81.5,89.9,32.4,295,20100,25200,29900
202122,2019/2020,1 YAG,First-degree,Male,CAH07-02-01,Chemistry,1930,1900,0.5,1.5,1890,3.3,5.8,51.7,77.1,90.9,39.1,960,19300,24100,29600
202223,2020/2021,1 YAG,First-degree,Female,CAH11-01-04,Software engineering,175,170,2.5,0.9,165,4,1.7,82.2,89.9,94.2,12.1,135,24500,30300,39800
202122,2019/2020,1 YAG,First-degree,Female,CAH13-01-01,Architecture,1040,1030,0.9,1.2,1020,3.1,7.5,55.8,78.2,89.4,33.6,545,16100,20100,23000
202324,2019/2020,3 YAG,First-degree,Male,CAH06-01-04,Rural estate management,20,20,0,10.9,20,0,5.2,86.1,92.2,94.8,8.7,15,25100,28000,39900
202324,2019/2020,3 YAG,First-degree,Male,CAH03-01-03,Ecology and environmental biology,320,305,0.6,5.1,305,5.5,10.6,71.5,79.8,83.9,12.4,210,22000,26400,30400
202324,2019/2020,3 YAG,First-degree,Female,CAH17-01-06,"Tourism, transport and travel",2465,2395,1,2.9,2370,3.8,9,80.2,86.1,87.2,7,1855,21600,26400,31100
202324,2019/2020,3 YAG,First-degree,Female,CAH11-01-01,Computer science,865,850,1.1,1.5,840,3.8,9.8,79.9,85.6,86.5,6.6,665,26700,37700,50900
202324,2019/2020,3 YAG,First-degree,Female,CAH03-01-08,"Molecular biology, biophysics and biochemistry",1260,1235,0.4,2,1230,3.2,5.2,60,81.8,91.6,31.6,735,26400,32200,39200
202223,2020/2021,1 YAG,First-degree,Female,CAH19-04-06,Asian studies,310,270,0.6,13.4,270,5.2,12.1,52.9,74.2,82.7,29.8,135,17200,21900,28100
202122,2019/2020,1 YAG,First-degree,Male,CAH10-01-04,Aeronautical and aerospace engineering,1310,1295,0.6,1.1,1285,4,7.4,65.5,81.5,88.5,23.1,825,19700,26300,30700
202223,2020/2021,1 YAG,First-degree,Female,CAH01-01-02,Medicine (non-specific),3270,3230,0.4,1.2,3220,10.6,13.3,56.2,67.7,76,19.8,1805,37600,40500,44200
202324,2019/2020,3 YAG,First-degree,Male,CAH10-01-08,Electrical and electronic engineering,1890,1860,0.9,1.8,1840,4.2,5.5,80.9,87.8,90.3,9.4,1470,31800,40300,50500
202324,2019/2020,3 YAG,First-degree,Male,CAH10-01-09,"Chemical, process and energy engineering",1250,1220,0.7,2.2,1210,4.2,5.8,76.9,86.2,90,13.1,925,32200,39200,47900
