"time_period","time_identifier","geographic_level","country_code","country_name","academic_year","YAG","qualification_level","sex","CAH2_code","CAH2_subject","CAH3_code","CAH3_subject","grads","grads_uk","unmatched_percent","overseas_percent","matched","activity_not_captured","no_sust_dest","sust_emp_only","sust_emp_with_or_without_fs","sust_emp_fs_or_both","fs_with_or_without_sust_emp","earnings_include","earnings_LQ","earnings_median","earnings_UQ"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","Level 8","Female","CAH25-01","Creative arts and design","CAH25-01-05","Others in creative arts and design",15,15,"6.2","0","15","13.3","20","66.7","66.7","66.7","0","10","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2017/2018","5 YAG","Level 7","Female","CAH22-01","Education and teaching","CAH22-01-01","Education",6425,6205,"2.4","3.4","6060","6.5","3.7","78.5","88.5","89.8","11.4","4570","27800","40300","50500"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 7","Male","CAH22-01","Education and teaching","CAH22-01-02","Teacher training",5970,5665,"2.2","5.1","5540","5.7","2.9","84.3","90.8","91.4","7.1","4530","27000","31800","37200"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","Level 7","Female","CAH19-01","English studies","CAH19-01-03","Literature in English",510,500,"1.6","2.5","490","7.1","4.4","65.8","84.2","88.5","22.6","310","23100","28900","35500"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","First-degree","Female","CAH22-01","Education and teaching","CAH22-01-01","Education",8880,8770,"1","1.3","8680","3.9","4.8","78.8","89","91.3","12.5","6675","13500","18600","23400"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-03","Community nursing",750,745,"0.7","0.8","740","1.5","2.1","76","95","96.4","20.4","560","21900","27400","33200"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","Level 7","Male","CAH15-04","Health and social care","CAH15-04-01","Social work",550,540,"2.7","1.6","525","7.5","3.6","79.6","88.2","88.9","9.3","395","29800","43600","53100"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","Level 7","Male","CAH15-01","Sociology, social policy and anthropology","CAH15-01-03","Social policy",480,460,"2.2","4.1","450","11.6","4.6","76.6","83.1","83.8","7.2","320","38400","56400","84200"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","Level 7","Male","CAH02-04","Nursing and midwifery","CAH02-04-07","Mental health nursing",115,115,"0","1.7","115","5.8","3.3","78.5","91","91","12.4","80","40300","51200","61400"
201920,"Tax year","National","K02000001","United Kingdom","2013/2014","5 YAG","First-degree","Female","CAH15-04","Health and social care","CAH15-04-01","Social work",4350,4310,"1.1","0.9","4260","3.9","4.9","75.2","90.1","91.2","16.1","3120","18700","27400","34000"
