Year,Subject group HECoS CAH1,Subject group HECoS CAH3,POLAR4 Quintile,Main scheme applicant,Main scheme application,Accepted applicants
2024,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,All,All,190
2019,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,All,All,5
2020,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,All,All,10
2021,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,All,All,5
2022,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,All,All,10
2023,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,All,All,10
2024,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,All,All,5
2019,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,All,All,390
2020,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,All,All,355
2021,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,All,All,385
2022,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,All,All,365
2023,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,All,All,395
2024,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,All,All,375
2019,(CAH10) engineering and technology,(CAH10-01-10) others in engineering,Quintile 1,All,All,5
2019,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,All,All,625
2020,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,All,All,615
2021,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,All,All,680
2022,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,All,All,655
2023,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,All,All,695
2024,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,All,All,760
2019,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 1,All,All,5
2021,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 1,All,All,5
2022,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 1,All,All,10
2023,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 1,All,All,5
2024,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 1,All,All,5
2021,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 1,All,All,5
2023,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 1,All,All,5
2019,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,All,All,10
2020,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,All,All,10
2021,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,All,All,10
2022,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,All,All,10
2023,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,All,All,10
2024,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,All,All,10
2019,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,All,All,80
2020,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,All,All,100
2021,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,All,All,105
2022,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,All,All,95
2023,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,All,All,130
2024,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,All,All,150
2019,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,All,All,85
2020,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,All,All,85
2021,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,All,All,90
2022,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,All,All,85
2023,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,All,All,80
2024,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,All,All,65
2019,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,All,All,250
2020,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,All,All,265
2021,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,All,All,255
2022,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,All,All,265
2023,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,All,All,300
2024,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,All,All,370
2019,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,All,All,110
2020,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,All,All,170
2021,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,All,All,175
2022,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,All,All,185
2023,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,All,All,155
2024,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,All,All,150
2019,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,All,All,905
2020,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,All,All,920
2021,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,All,All,1000
2022,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,All,All,1035
2023,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,All,All,915
2024,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,All,All,1030
2019,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,All,All,130
2020,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,All,All,165
2021,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,All,All,155
2022,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,All,All,100
2023,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,All,All,135
2024,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,All,All,120
2019,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,All,All,100
2020,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,All,All,85
2021,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,All,All,85
2022,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,All,All,55
2023,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,All,All,45
2024,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,All,All,45
2019,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,All,All,570
2020,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,All,All,635
2021,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,All,All,635
2022,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,All,All,660
2023,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,All,All,590
2024,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,All,All,655
2019,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,All,All,95
2020,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,All,All,90
2021,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,All,All,105
2022,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,All,All,115
2023,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,All,All,155
2024,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,All,All,195
2019,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,All,All,365
2020,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,All,All,405
2021,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,All,All,505
2022,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,All,All,500
2023,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,All,All,530
2024,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,All,All,490
2019,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,All,All,225
2020,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,All,All,300
2021,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,All,All,295
2022,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,All,All,300
2023,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,All,All,315
2024,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,All,All,395
2019,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,All,All,120
2020,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,All,All,165
2021,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,All,All,150
2022,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,All,All,140
2023,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,All,All,745
2024,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,All,All,910
2019,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,All,All,1005
2020,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,All,All,1055
2021,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,All,All,1180
2022,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,All,All,1205
2023,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,All,All,1240
2024,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,All,All,1280
2019,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,All,All,3205
2020,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,All,All,3930
2021,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,All,All,3945
2022,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,All,All,3670
2023,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,All,All,3160
2024,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,All,All,3165
2019,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,All,All,485
2020,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,All,All,775
2021,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,All,All,705
2022,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,All,All,670
2023,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,All,All,620
2024,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,All,All,700
2019,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,All,All,5
2020,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,All,All,10
2021,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,All,All,10
2022,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,All,All,5
2023,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,All,All,5
2024,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,All,All,10
2019,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,All,All,40
2020,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,All,All,40
2021,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,All,All,30
2022,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,All,All,30
2023,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,All,All,45
2024,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,All,All,40
